protocol	drop_MaxCut	drop_CircPack	drop_DiffBases	drop_FlatPoly	drop_TSP-100	drop_LJ-n41	drop_Erdős	drop_MolQED	drop_TSP-50	jk_min	jk_max	sign_stable	orig_AggMEG
magicore-gemini	+0.0130	-0.0155	+0.0729	+0.0296	+0.0133	+0.0130	-0.0275	-0.0075	+0.0114	-0.0275	+0.0729	False	+0.0114
vgs-gemini	-0.0205	-0.0205	-0.0205	-0.0205	-0.0203	-0.0205	-0.0002	-0.0205	-0.0180	-0.0205	-0.0002	True	-0.0180
moa	-0.0239	+0.0058	-0.0352	-0.0255	-0.0220	-0.0239	-0.0266	-0.0223	-0.0177	-0.0352	+0.0058	False	-0.0213
debate-gpt4o	-0.0395	-0.0624	-0.0281	-0.0371	-0.0382	-0.0343	-0.0293	-0.0074	-0.0345	-0.0624	-0.0074	True	-0.0345
hpe-gemini	-0.0450	-0.0450	-0.0375	-0.0186	-0.0447	-0.0450	-0.0375	-0.0268	-0.0375	-0.0450	-0.0186	True	-0.0375
self-refine	-0.0424	-0.0391	-0.0287	-0.0350	-0.0402	-0.0424	-0.0424	-0.0363	-0.0328	-0.0424	-0.0287	True	-0.0377
best-of-n-gemini	-0.0469	-0.0158	-0.0388	-0.0405	-0.0469	-0.0469	-0.0469	-0.0456	-0.0410	-0.0469	-0.0158	True	-0.0410
moa-nosynth	-0.0462	-0.0085	-0.0512	-0.0413	-0.0462	-0.0462	-0.0578	-0.0284	-0.0440	-0.0578	-0.0085	True	-0.0411
best-of-n-gpt4o	-0.0471	-0.0127	-0.0471	-0.0447	-0.0471	-0.0471	-0.0471	-0.0368	-0.0412	-0.0471	-0.0127	True	-0.0412
vgs-gpt4o	-0.0534	-0.0084	-0.0521	-0.0520	-0.0530	-0.0483	-0.0534	-0.0534	-0.0468	-0.0534	-0.0084	True	-0.0468
best-of-n	-0.0571	-0.0571	-0.0571	-0.0475	-0.0565	-0.0571	-0.0107	-0.0571	-0.0567	-0.0571	-0.0107	True	-0.0508
cross-chain	-0.0598	-0.0565	-0.0457	-0.0502	-0.0592	-0.0598	-0.0431	-0.0471	-0.0572	-0.0598	-0.0431	True	-0.0532
homo-chain	-0.0624	-0.0624	-0.0378	-0.0528	-0.0602	-0.0624	-0.0565	-0.0472	-0.0577	-0.0624	-0.0378	True	-0.0555
self-refine-gpt4o	-0.0687	-0.0687	-0.0394	-0.0687	-0.0661	-0.0636	-0.0484	-0.0574	-0.0601	-0.0687	-0.0394	True	-0.0601
magicore	-0.0707	-0.0707	-0.0526	-0.0610	-0.0692	-0.0707	-0.0520	-0.0536	-0.0649	-0.0707	-0.0520	True	-0.0628
magicore-mixed	-0.0780	-0.0780	-0.0596	-0.0715	-0.0758	-0.0780	-0.0303	-0.0748	-0.0682	-0.0780	-0.0303	True	-0.0682
vgs	-0.0811	-0.0811	-0.0647	-0.0811	-0.0811	-0.0811	-0.0216	-0.0759	-0.0811	-0.0811	-0.0216	True	-0.0721
homo-chain-gpt4o	-0.0924	-0.1038	-0.0546	-0.0900	-0.0904	-0.0872	-0.0518	-0.0764	-0.0808	-0.1038	-0.0518	True	-0.0808
magicore-gpt4o	-0.0956	-0.0908	-0.0709	-0.0932	-0.0930	-0.0904	-0.0628	-0.0723	-0.0836	-0.0956	-0.0628	True	-0.0836
debate	-0.0991	-0.0339	-0.1130	-0.0944	-0.0969	-0.0991	-0.0574	-0.1021	-0.0969	-0.1130	-0.0339	True	-0.0881
moa-same-model	-0.0996	-0.0900	-0.0838	-0.0904	-0.0974	-0.0996	-0.0490	-0.0905	-0.0965	-0.0996	-0.0490	True	-0.0885
single-shot	-0.1199	-0.1199	-0.0953	-0.1102	-0.1188	-0.1199	-0.0604	-0.1061	-0.1087	-0.1199	-0.0604	True	-0.1066
self-refine-gemini	-0.1245	-0.1117	-0.0847	-0.1040	-0.1243	-0.1245	-0.1042	-0.0936	-0.1090	-0.1245	-0.0847	True	-0.1090
debate-gemini	-0.1270	-0.1229	-0.0696	-0.1030	-0.1278	-0.1270	-0.1067	-0.1049	-0.1111	-0.1278	-0.0696	True	-0.1111
debate-mixed	-0.1271	-0.0412	-0.0990	-0.1235	-0.1258	-0.1271	-0.1403	-0.1058	-0.1112	-0.1403	-0.0412	True	-0.1112
homo-chain-gemini	-0.1349	-0.1063	-0.0748	-0.1300	-0.1347	-0.1349	-0.1146	-0.1140	-0.1180	-0.1349	-0.0748	True	-0.1180
hpe-gpt4o	-0.2034	-0.1566	-0.1593	-0.2006	-0.2003	-0.1743	-0.1457	-0.1543	-0.1743	-0.2034	-0.1457	True	-0.1743
hpe-mixed	-0.2054	-0.0887	-0.1864	-0.1925	-0.2048	-0.2054	-0.1760	-0.1491	-0.1760	-0.2054	-0.0887	True	-0.1760
single-shot-gemini	-0.2125	-0.1554	-0.1526	-0.1916	-0.2123	-0.2125	-0.1922	-0.1585	-0.1860	-0.2125	-0.1526	True	-0.1860
single-shot-gpt4o	-0.2160	-0.1454	-0.1852	-0.2136	-0.2134	-0.2108	-0.1754	-0.1521	-0.1890	-0.2160	-0.1454	True	-0.1890
best-of-3	-0.2039	-0.2039	-0.2867	-0.2039	-0.2039	-0.2039	-0.0679	-0.2571	-0.2039	-0.2867	-0.0679	True	-0.2039
hpe	-0.2530	-0.1280	-0.2284	-0.2433	-0.2508	-0.2530	-0.1935	-0.2229	-0.2511	-0.2530	-0.1280	True	-0.2249
