# Per-task denominator bias estimates
task	raw_denom	E_boot_denom	bias	n_SR	n_BoN	n_VGS	corr_denom
MaxCut	0.000000	0.000000	+0.000000	10	10	6	0.000000
CircPack	1.000000	1.000000	+0.000000	5	5	5	1.000000
DiffBases	0.209148	0.223749	+0.014601	10	10	10	0.194547
FlatPoly	0.077386	0.083142	+0.005756	5	5	5	0.071629
TSP-100	0.017827	0.021827	+0.004000	1	3	4	0.013826
LJ-n41	0.000000	0.000000	+0.000000	5	5	5	0.000000
Erdos	0.379977	0.382391	+0.002414	10	10	10	0.377562
MolQED	0.429262	0.448678	+0.019416	10	10	10	0.409845
GColor	nan	nan	+0.000000	0	0	0	nan
TSP-50	0.126273	0.134355	+0.008082	5	5	5	0.118192
MEAN	nan	nan	+0.005427				nan

# Raw vs bias-corrected MEG for core 10 protocols
protocol	raw_AggMEG	corr_AggMEG	delta	sign_flipped
moa	-0.009785	-0.003755	+0.006030	False
self-refine	-0.036471	-0.030441	+0.006030	False
best-of-n	-0.040284	-0.034254	+0.006030	False
cross-chain	-0.041661	-0.035631	+0.006030	False
homo-chain	-0.043999	-0.037969	+0.006030	False
vgs	-0.044653	-0.038623	+0.006030	False
magicore	-0.051010	-0.044980	+0.006030	False
debate	-0.076544	-0.070514	+0.006030	False
single-shot	-0.095182	-0.089152	+0.006030	False
hpe	-0.213337	-0.207307	+0.006030	False

# MoA-diverse CI comparison
variant	median	CI_lo	CI_hi	covers_zero
raw	-0.009384	-0.045974	+0.025701	True
corrected	-0.003354	-0.039944	+0.031731	True
