protocol	MaxCut	CircPack	DiffBases	FlatPoly	TSP-100	LJ-n41	Erdős	MolQED	GColor	TSP-50	AggMEG	CI_lo	CI_hi	n_MaxCut	n_CircPack	n_DiffBases	n_FlatPoly	n_TSP-100	n_LJ-n41	n_Erdős	n_MolQED	n_GColor	n_TSP-50	agg_excludes
magicore-gemini	+0.0000	+0.2000	-0.4193	-0.1158	-0.0016	+0.0000	+0.2841	+0.1439	nan	nan	+0.0114	-0.0597	+0.0839	5	5	5	5	5	5	5	5	0	0	GColor
vgs-gemini	+0.0000	+0.0000	+0.0000	+0.0000	-0.0016	+0.0000	-0.1421*	+0.0000	nan	nan	-0.0180	-0.0786	+0.0441	5	5	5	5	5	5	4	5	0	0	GColor
moa	+0.0000	-0.2381	+0.0904	+0.0128	-0.0153	+0.0000	+0.0214	-0.0127	nan	-0.0499	-0.0213	-0.0570	+0.0134	10	10	10	10	10	10	10	10	0	10	GColor
debate-gpt4o	+0.0000	+0.1604	-0.0793	-0.0167	-0.0088	-0.0360*	-0.0712	-0.2247	nan	nan	-0.0345	-0.0719	+0.0031	5	5	5	5	5	3	5	5	0	0	GColor
hpe-gemini	+0.0000	+0.0000	nan	-0.1323	-0.0016*	+0.0000	nan	-0.0912	nan	nan	-0.0375	-0.1070	+0.0384	5	5	0	5	3	5	0	5	0	0	GColor
self-refine	+0.0000	-0.0267	-0.1096	-0.0591	-0.0178*	+0.0000	+0.0000	-0.0491	nan	-0.0770	-0.0377	-0.0727	-0.0060	5	5	5	5	1	5	5	5	0	5	GColor
best-of-n-gemini	+0.0000	-0.2175	-0.0568	-0.0449	+0.0000	+0.0000	+0.0000	-0.0091	nan	nan	-0.0410	-0.1004	+0.0255	5	5	5	5	5	5	5	5	0	0	GColor
moa-nosynth	+0.0000	-0.3018	+0.0400	-0.0397	-0.0002	+0.0000	+0.0924	-0.1429	nan	-0.0176	-0.0411	-0.0768	-0.0066	10	10	10	10	10	10	10	10	0	10	GColor
best-of-n-gpt4o	+0.0000	-0.2406	+0.0000	-0.0167	+0.0000	+0.0000	-0.0000	-0.0720	nan	nan	-0.0412	-0.0796	-0.0017	5	5	5	5	5	5	5	5	0	0	GColor
vgs-gpt4o	+0.0000	-0.3155	-0.0093	-0.0103	-0.0030	-0.0360	+0.0000	+0.0000	nan	nan	-0.0468	-0.0859	-0.0054	5	5	5	5	5	5	5	5	0	0	GColor
best-of-n	+0.0000	+0.0000	+0.0000	-0.0774	-0.0053*	+0.0000	-0.3711	+0.0000	nan	-0.0033	-0.0508	-0.0834	-0.0125	5	5	5	5	3	5	5	5	0	5	GColor
cross-chain	+0.0000	-0.0267	-0.1132	-0.0774	-0.0048	+0.0000	-0.1336	-0.1019	nan	-0.0210	-0.0532	-0.0874	-0.0148	5	5	5	5	5	5	5	5	0	5	GColor
homo-chain	+0.0000	+0.0000	-0.1970	-0.0774	-0.0178	+0.0000	-0.0475	-0.1222	nan	-0.0376	-0.0555	-0.0794	-0.0297	5	5	5	5	5	5	5	5	0	5	GColor
self-refine-gpt4o	+0.0000	+0.0000	-0.2055	+0.0000	-0.0182	-0.0360*	-0.1421	-0.0793	nan	nan	-0.0601	-0.1027	-0.0243	5	5	5	5	5	1	5	5	0	0	GColor
magicore	+0.0000	+0.0000	-0.1445	-0.0774	-0.0117	+0.0000	-0.1493	-0.1367	nan	-0.0458	-0.0628	-0.0958	-0.0272	5	5	5	5	5	5	5	5	0	5	GColor
magicore-mixed	+0.0000	+0.0000	-0.1288	-0.0456	-0.0152	+0.0000	-0.3338	-0.0226	nan	nan	-0.0682	-0.0997	-0.0298	5	5	5	5	5	5	5	5	0	0	GColor
vgs	+0.0000	+0.0000	-0.1315	+0.0000	+0.0000*	+0.0000	-0.4759	-0.0414	nan	+0.0000	-0.0721	-0.0913	-0.0482	5	5	5	5	4	5	5	5	0	5	GColor
homo-chain-gpt4o	+0.0000	+0.0802	-0.2644	-0.0167	-0.0138	-0.0360*	-0.2841	-0.1118	nan	nan	-0.0808	-0.1245	-0.0403	5	5	5	5	5	3	5	5	0	0	GColor
magicore-gpt4o	+0.0000	-0.0334	-0.1725	-0.0167	-0.0182	-0.0360*	-0.2290	-0.1631	nan	nan	-0.0836	-0.1263	-0.0418	5	5	5	5	5	3	5	5	0	0	GColor
debate	+0.0000	-0.5215	+0.1115	-0.0375	-0.0178	+0.0000	-0.3338	+0.0240	nan	-0.0176	-0.0881	-0.1438	-0.0308	5	5	5	5	5	5	5	5	0	5	GColor
moa-same-model	+0.0000	-0.0765	-0.1265	-0.0737	-0.0178	+0.0000	-0.4048	-0.0725	nan	-0.0249	-0.0885	-0.1097	-0.0637	10	10	10	10	10	10	10	10	0	10	GColor
single-shot	+0.0000	+0.0000	-0.1970	-0.0774	-0.0093	+0.0000	-0.4759	-0.1102	nan	-0.0896	-0.1066	-0.1181	-0.0942	5	5	5	5	5	5	5	5	0	5	GColor
self-refine-gemini	+0.0000	-0.0895	-0.2784	-0.1434	-0.0016	+0.0000	-0.1421*	-0.2166	nan	nan	-0.1090	-0.1630	-0.0470	5	5	5	5	5	5	3	5	0	0	GColor
debate-gemini	+0.0000	-0.0286	-0.4016	-0.1680	+0.0060	+0.0000	-0.1421*	-0.1544	nan	nan	-0.1111	-0.1588	-0.0549	5	5	5	5	5	5	4	5	0	0	GColor
debate-mixed	+0.0000	-0.6016	-0.1970	-0.0254	-0.0093	+0.0000*	+0.0924	-0.1489	nan	nan	-0.1112	-0.1518	-0.0800	5	5	5	5	5	4	5	5	0	0	GColor
homo-chain-gemini	+0.0000	-0.2000	-0.4205	-0.0339	-0.0016	+0.0000	-0.1421	-0.1461	nan	nan	-0.1180	-0.1686	-0.0526	5	5	5	5	5	5	5	5	0	0	GColor
hpe-gpt4o	+0.0000	-0.2807	-0.2644*	-0.0167	-0.0182*	nan	-0.3458*	-0.2942	nan	nan	-0.1743	-0.2276	-0.1172	5	5	2	5	3	0	3	5	0	0	GColor
hpe-mixed	+0.0000	-0.7003	-0.1137	-0.0774	-0.0034*	+0.0000	nan	-0.3375	nan	nan	-0.1760	-0.2254	-0.1208	5	5	5	5	4	5	0	5	0	0	GColor
single-shot-gemini	+0.0000	-0.4000	-0.4193	-0.1467	-0.0016	+0.0000	-0.1421*	-0.3780	nan	nan	-0.1860	-0.2163	-0.1459	5	5	5	5	5	5	4	5	0	0	GColor
single-shot-gpt4o	+0.0000	-0.4941	-0.2153	-0.0167	-0.0182	-0.0360*	-0.2841	-0.4474	nan	nan	-0.1890	-0.2306	-0.1473	5	5	5	5	5	2	5	5	0	0	GColor
best-of-3	nan	nan	-0.0383	nan	nan	nan	-0.4759	-0.0975	nan	nan	-0.2039	-0.2592	-0.1500	0	0	5	0	0	0	5	5	0	0	GColor
hpe	+0.0000	-1.0000	-0.1970*	-0.0774	-0.0178	+0.0000	-0.4759*	-0.2404	nan	-0.0154	-0.2249	-0.2453	-0.2014	5	5	4	5	5	5	1	5	0	5	GColor
