task	protocol	MEG	CI_lower	CI_upper	p_value	mean_Q	baseline_Q	best_baseline	mean_hidden_raw	baseline_hidden_raw	n_cells
bench-maxcut-g200	single-shot	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	3044.0000	3062.2000	5
bench-maxcut-g200	self-refine	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	3062.2000	3062.2000	10
bench-maxcut-g200	best-of-n	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	3089.4000	3062.2000	10
bench-maxcut-g200	vgs	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	3096.0000	3062.2000	6
bench-maxcut-g200	homo-chain	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	3057.2000	3062.2000	5
bench-maxcut-g200	cross-chain	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	3098.2000	3062.2000	5
bench-maxcut-g200	magicore	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	3076.4000	3062.2000	5
bench-maxcut-g200	debate	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	3075.0000	3062.2000	5
bench-maxcut-g200	moa	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	3073.9000	3062.2000	10
bench-circle-packing-n20	single-shot	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	best-of-n	2.0000	2.0000	5
bench-circle-packing-n20	self-refine	-0.0267	-0.0802	0.0000	1.0000	0.9733	1.0000	best-of-n	1.9680	2.0000	5
bench-circle-packing-n20	best-of-n	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	best-of-n	2.0000	2.0000	5
bench-circle-packing-n20	vgs	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	best-of-n	2.0800	2.0000	5
bench-circle-packing-n20	homo-chain	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	best-of-n	2.0000	2.0000	5
bench-circle-packing-n20	cross-chain	-0.0267	-0.0802	0.0000	1.0000	0.9733	1.0000	best-of-n	1.9600	2.0000	5
bench-circle-packing-n20	magicore	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	best-of-n	2.0000	2.0000	5
bench-circle-packing-n20	debate	-0.5215	-0.8640	-0.1790	1.0000	0.4785	1.0000	best-of-n	-4.0000000000000004e+29	2.0000	5
bench-circle-packing-n20	moa	-0.2381	-0.3785	-0.1060	0.9910	0.7619	1.0000	best-of-n	1.6438	2.0000	10
bench-difference-bases	single-shot	-0.2091	-0.3453	-0.0769	0.9610	0.0000	0.2091	best-of-n	107.9548	15.3678	5
bench-difference-bases	self-refine	-0.1055	-0.2718	0.0614	0.8750	0.1037	0.2091	best-of-n	16.9798	15.3678	10
bench-difference-bases	best-of-n	0.0000	-0.1795	0.1843	0.5390	0.2091	0.2091	best-of-n	15.3678	15.3678	10
bench-difference-bases	vgs	-0.0512	-0.2257	0.1291	0.7030	0.1579	0.2091	best-of-n	15.7878	15.3678	9
bench-difference-bases	homo-chain	-0.2091	-0.3460	-0.0801	0.9510	0.0000	0.2091	best-of-n	35.4282	15.3678	5
bench-difference-bases	cross-chain	-0.1254	-0.3039	0.0814	0.8120	0.0838	0.2091	best-of-n	44.0080	15.3678	5
