protocol	config	MaxCut	CircPack	DiffBases	FlatPoly	TSP-100	LJ-n41	Erdős	MolQED	MeanMIG	n_tasks
MAgICoRe	homo	+0.0000	+0.0000	+0.0525	+0.0000	-0.0024	+0.0000	+0.3266	-0.0265	+0.0438	8
Debate	homo	+0.0000	-0.5215	+0.3085	+0.0399	-0.0085	+0.0000	+0.1421	+0.1342	+0.0118	8
HPE	homo	+0.0000	-1.0000	+0.0000	+0.0000	-0.0085	+0.0000		-0.1302	-0.1627	7
Homo-chain	homo	+0.0000	+0.0000	+0.0000	+0.0000	-0.0085	+0.0000	+0.4283	-0.0120	+0.0510	8
MoA-same	homo	+0.0000	-0.0765	+0.0705	+0.0037	-0.0085	+0.0000	+0.0710	+0.0377	+0.0122	8
MAgICoRe-mixed	mixed	+0.0000	+0.0000	-0.0715	-0.0024	-0.0059	+0.0000	-0.2841	+0.0876	-0.0345	8
Debate-mixed	mixed	+0.0000	-0.6016	-0.1396	+0.0177	+0.0000	+0.0000	+0.1421	-0.0387	-0.0775	8
HPE-mixed	mixed	+0.0000	-0.7003	-0.0564	-0.0342	+0.0059	+0.0000		-0.2273	-0.1446	7
MoA-diverse	mixed	+0.0000	-0.2381	+0.1477	+0.0560	-0.0060	+0.0000	+0.0710	+0.0975	+0.0160	8
Cross-chain	mixed	+0.0000	-0.0267	-0.0559	-0.0342	+0.0045	+0.0000	-0.0839	+0.0082	-0.0235	8
