protocol	eval_calls	slope	agg_meg	DiffBases	MaxCut	MolQED	CircPack	FlatPoly	TSP-100	LJ-n41	Erdős
vgs	10.4	+0.0274	-0.0811	-0.1315	+0.0000	-0.0414	+0.0000	+0.0000	+0.0000	+0.0000	-0.4759
best-of-n	7.9	+0.5474	-0.0567	+0.0000	+0.0000	+0.0000	+0.0000	-0.0774	-0.0053	+0.0000	-0.3711
homo-chain	4.0	-0.6544	-0.0577	-0.1970	+0.0000	-0.1222	+0.0000	-0.0774	-0.0178	+0.0000	-0.0475
moa	3.9	+0.6350	-0.0177	+0.0904	+0.0000	-0.0127	-0.2381	+0.0128	-0.0153	+0.0000	+0.0214
self-refine	3.9	-0.3327	-0.0328	-0.1096	+0.0000	-0.0491	-0.0267	-0.0591	-0.0178	+0.0000	+0.0000
debate	2.9	+1.5608	-0.0969	+0.1115	+0.0000	+0.0240	-0.5215	-0.0375	-0.0178	+0.0000	-0.3338
cross-chain	2.9	-0.1865	-0.0572	-0.1132	+0.0000	-0.1019	-0.0267	-0.0774	-0.0048	+0.0000	-0.1336
magicore	2.8	-0.3245	-0.0649	-0.1445	+0.0000	-0.1367	+0.0000	-0.0774	-0.0117	+0.0000	-0.1493
hpe	1.9	+1.0542	-0.2511	-0.1970	+0.0000	-0.2404	-1.0000	-0.0774	-0.0178	+0.0000	-0.4759
single-shot	1.0	-0.1464	-0.1087	-0.1970	+0.0000	-0.1102	+0.0000	-0.0774	-0.0093	+0.0000	-0.4759
