task	n_protocols	rho	p_approx	top1_dev	top1_hidden	top1_inverted	top3_overlap
bench-maxcut-g200	41	0.8664	0.0013	vgs-deepseek	vgs-deepseek	False	2/3
bench-circle-packing-n20	41	1.0000	0.0000	vgs	vgs	False	3/3
bench-difference-bases	40	0.8593	0.0018	best-of-n-gemini	best-of-n-gemini	False	2/3
bench-flat-poly-deg50	35	1.0000	0.0000	vgs-gemini	vgs-gemini	False	3/3
bench-tsp-100	35	0.9989	0.0000	best-of-n-gpt4o	best-of-n-gpt4o	False	3/3
bench-lj-n41	34	1.0000	0.0000	tot	tot	False	3/3
bench-erdos-overlap	39	0.9998	0.0000	magicore-mixed-oss	magicore-mixed-oss	False	3/3
bench-molecule-qed	41	0.9216	0.0001	magicore-gemini	magicore-gemini	False	1/3
bench-graph-coloring-g80	11	1.0000	0.0000	moa	moa	False	3/3
bench-tsp-50	11	0.9909	0.0000	vgs	vgs	False	3/3
